id,Width,height,Ratio(Width),Ratio(Height),Width Max 100 DPI(Inches),Height Max 100 DPI(Inches)
FLPT_MAM_0208.JPG,5167,3432,5167,3432,51.67,34.32
FLPT_JOB_0082.JPG,5130,3420,3,2,51.3,34.2
FLPT_CS_2502.JPG,5111,3421,5111,3421,51.11,34.21
FLPT_CS_C08_9348.JPG,3422,5145,3422,5145,34.22,51.45
FLPT_CS_2391.JPG,4550,4471,4550,4471,45.5,44.71
FLPT_PP_0097.JPG,3422,5133,2,3,34.22,51.33
FLPT_JN_0126.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_1278.JPG,3441,5114,3441,5114,34.41,51.14
FLPT_MPK_0370.JPG,5100,3677,5100,3677,51,36.77
FLPT_CS_2685.JPG,5196,3392,1299,848,51.96,33.92
FLPT_JW_0045.JPG,3422,5135,3422,5135,34.22,51.35
FLPT_MPK_0907.JPG,5100,3400,3,2,51,34
FLPT_SI_0466.JPG,5130,3420,3,2,51.3,34.2
FLPT_MO_07.JPG,3738,5100,623,850,37.38,51
FLPT_FL_0041.JPG,5100,3692,1275,923,51,36.92
FLPT_JCB_0130.JPG,3404,5159,3404,5159,34.04,51.59
FLPT_SI_0521.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_PST_0141.JPG,3373,5182,3373,5182,33.73,51.82
FLPT_GP_0231.JPG,3434,5105,3434,5105,34.34,51.05
FLPT_PT_0207.JPG,3452,5197,3452,5197,34.52,51.97
FLPT_CS_C07_5477.JPG,5100,3758,2550,1879,51,37.58
FLPT_SI_0746.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_SI_0917.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_GP_0506.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_X57.JPG,5105,3434,5105,3434,51.05,34.34
FLPT_RF_37.JPG,3369,5205,1123,1735,33.69,52.05
FLPT_MPK_0730.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_CW_FV04.JPG,3661,5100,3661,5100,36.61,51
FLPT_GC_0489.JPG,3414,5162,1707,2581,34.14,51.62
FLPT_SI_0091.JPG,3508,5100,877,1275,35.08,51
FLPT_MPK_F13.JPG,5123,3427,5123,3427,51.23,34.27
FLPT_MPK_0698.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_SK_0269.JPG,3429,5123,3429,5123,34.29,51.23
FLPT_SK_0453.JPG,5130,3407,5130,3407,51.3,34.07
FLPT_PT_0054.JPG,4394,4550,169,175,43.94,45.5
FLPT_CS_1787.JPG,3485,5038,3485,5038,34.85,50.38
FLPT_TIS_94.JPG,3981,5100,1327,1700,39.81,51
FLPT_DZ_0653.JPG,5139,3427,5139,3427,51.39,34.27
FLPT_CS_581A.JPG,4064,5100,1016,1275,40.64,51
FLPT_LB_0166.JPG,5133,3422,3,2,51.33,34.22
FLPT_CS_C07_3211.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_CA_07.JPG,3816,5100,318,425,38.16,51
FLPT_MA_0127.JPG,3434,5151,2,3,34.34,51.51
FLPT_FL_0070.JPG,5123,3429,5123,3429,51.23,34.29
FLPT_SH_0051.JPG,3439,5102,3439,5102,34.39,51.02
FLPT_MAM_0029.JPG,5143,3420,5143,3420,51.43,34.2
FLPT_CS_F343.JPG,3417,5311,3417,5311,34.17,53.11
FLPT_CS_2985.JPG,4202,4220,2101,2110,42.02,42.2
FLPT_MO_75.JPG,5169,3419,5169,3419,51.69,34.19
FLPT_LB_0137.JPG,5123,3415,5123,3415,51.23,34.15
FLPT_CS_X27.JPG,3418,5153,3418,5153,34.18,51.53
FLPT_CS_T001_A018.JPG,5100,4459,5100,4459,51,44.59
FLPT_CS_F63.JPG,5160,3402,860,567,51.6,34.02
FLPT_CS_C08_0662.JPG,3650,4789,3650,4789,36.5,47.89
FLPT_MAM_0001.JPG,5143,3420,5143,3420,51.43,34.2
FLPT_MAM_0634.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_SK_0488.JPG,5130,3407,5130,3407,51.3,34.07
FLPT_MPK_0690.JPG,3673,5100,3673,5100,36.73,51
FLPT_AKU_0062.JPG,5158,3414,2579,1707,51.58,34.14
FLPT_LB_0064.JPG,3515,5100,703,1020,35.15,51
FLPT_LB_0286.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_SK_0397.JPG,5120,3427,5120,3427,51.2,34.27
FLPT_MPK_0406.JPG,5118,3434,2559,1717,51.18,34.34
